peripheral,signal,pin,af
ECAP0,ECAP0_IN_APWM_OUT,ECAP0_IN_APWM_OUT,0
I2C0,I2C0_SCL,I2C0_SCL,0
I2C0,I2C0_SDA,I2C0_SDA,0
I2C1,I2C1_SCL,I2C1_SCL,0
I2C1,I2C1_SDA,I2C1_SDA,0
I2C2,I2C2_SCL,GPMC0_CSN3,5
I2C2,I2C2_SDA,GPMC0_CSN2,5
MCU,MCU_I2C0_SCL,MCU_I2C0_SCL,0
MCU,MCU_I2C0_SDA,MCU_I2C0_SDA,0
MCU,MCU_MDIO0_MDC,MCU_MDIO0_MDC,0
MCU,MCU_MDIO0_MDIO,MCU_MDIO0_MDIO,0
MCU,MCU_OSPI0_CLK,MCU_OSPI0_CLK,0
MCU,MCU_OSPI0_CSn0,MCU_OSPI0_CSN0,0
MCU,MCU_OSPI0_D0,MCU_OSPI0_D0,0
MCU,MCU_OSPI0_D1,MCU_OSPI0_D1,0
MCU,MCU_OSPI0_D2,MCU_OSPI0_D2,0
MCU,MCU_OSPI0_D3,MCU_OSPI0_D3,0
MCU,MCU_OSPI0_D4,MCU_OSPI0_D4,0
MCU,MCU_OSPI0_D5,MCU_OSPI0_D5,0
MCU,MCU_OSPI0_D6,MCU_OSPI0_D6,0
MCU,MCU_OSPI0_D7,MCU_OSPI0_D7,0
MCU,MCU_OSPI0_DQS,MCU_OSPI0_DQS,0
MCU,MCU_RGMII1_RD0,MCU_RGMII1_RD0,0
MCU,MCU_RGMII1_RD1,MCU_RGMII1_RD1,0
MCU,MCU_RGMII1_RD2,MCU_RGMII1_RD2,0
MCU,MCU_RGMII1_RD3,MCU_RGMII1_RD3,0
MCU,MCU_RGMII1_RXC,MCU_RGMII1_RXC,0
MCU,MCU_RGMII1_RX_CTL,MCU_RGMII1_RX_CTL,0
MCU,MCU_RGMII1_TD0,MCU_RGMII1_TD0,0
MCU,MCU_RGMII1_TD1,MCU_RGMII1_TD1,0
MCU,MCU_RGMII1_TD2,MCU_RGMII1_TD2,0
MCU,MCU_RGMII1_TD3,MCU_RGMII1_TD3,0
MCU,MCU_RGMII1_TXC,MCU_RGMII1_TXC,0
MCU,MCU_RGMII1_TX_CTL,MCU_RGMII1_TX_CTL,0
MCU,MCU_UART0_CTSn,MCU_OSPI1_D3,4
MCU,MCU_UART0_RTSn,MCU_OSPI1_CSN1,4
MCU,MCU_UART0_RXD,MCU_OSPI1_D1,4
MCU,MCU_UART0_TXD,MCU_OSPI1_D2,4
MMC0,MMC0_CLK,MMC0_CLK,0
MMC0,MMC0_CMD,MMC0_CMD,0
MMC0,MMC0_DAT0,MMC0_DAT0,0
MMC0,MMC0_DAT1,MMC0_DAT1,0
MMC0,MMC0_DAT2,MMC0_DAT2,0
MMC0,MMC0_DAT3,MMC0_DAT3,0
MMC0,MMC0_DAT4,MMC0_DAT4,0
MMC0,MMC0_DAT5,MMC0_DAT5,0
MMC0,MMC0_DAT6,MMC0_DAT6,0
MMC0,MMC0_DAT7,MMC0_DAT7,0
MMC0,MMC0_DS,MMC0_DS,0
MMC0,MMC0_SDCD,MMC0_SDCD,0
MMC1,MMC1_CLK,MMC1_CLK,0
MMC1,MMC1_CMD,MMC1_CMD,0
MMC1,MMC1_DAT0,MMC1_DAT0,0
MMC1,MMC1_DAT1,MMC1_DAT1,0
MMC1,MMC1_DAT2,MMC1_DAT2,0
MMC1,MMC1_DAT3,MMC1_DAT3,0
MMC1,MMC1_SDCD,MMC1_SDCD,0
MMC1,MMC1_SDWP,MMC1_SDWP,0
SPI0,SPI0_CLK,SPI0_CLK,0
SPI0,SPI0_CS0,SPI0_CS0,0
SPI0,SPI0_D0,SPI0_D0,0
SPI0,SPI0_D1,SPI0_D1,0
UART0,UART0_CTSn,UART0_CTSN,0
UART0,UART0_RTSn,UART0_RTSN,0
UART0,UART0_RXD,UART0_RXD,0
UART0,UART0_TXD,UART0_TXD,0
USB1,USB1_DRVVBUS,USB1_DRVVBUS,0
WKUP,WKUP_I2C0_SCL,WKUP_I2C0_SCL,0
WKUP,WKUP_I2C0_SDA,WKUP_I2C0_SDA,0
