peripheral,signal,pin,af
CAN1,CAN1_RXD,PL14,4
CAN1,CAN1_TXD,PL15,4
CAN3,CAN3_RXD,PL10,3
CAN3,CAN3_TXD,PL11,3
EADC0,EADC0_CH0,PB0,8
EADC0,EADC0_CH1,PB1,8
EADC0,EADC0_CH2,PB2,8
EADC0,EADC0_CH3,PB3,8
EADC0,EADC0_CH4,PB4,8
EADC0,EADC0_CH5,PB5,8
EADC0,EADC0_CH6,PB6,8
EADC0,EADC0_CH7,PB7,8
EPWM1,EPWM1_CH5,PM13,1
HSUSB0,HSUSB0_VBUSVLD,PF15,1
HSUSBH,HSUSBH_OVC,PL13,9
HSUSBH,HSUSBH_PWREN,PL12,9
I2C2,I2C2_SCL,PB9,4
I2C2,I2C2_SDA,PB8,4
I2C5,I2C5_SCL,PJ13,4
I2C5,I2C5_SDA,PJ12,4
I2S0,I2S0_BCLK,PK13,5
I2S0,I2S0_DI,PK14,5
I2S0,I2S0_DO,PK15,5
I2S0,I2S0_LRCK,PK12,5
I2S0,I2S0_MCLK,PN15,5
LCM,LCM_CLK,PG10,6
LCM,LCM_DATA0,PI8,6
LCM,LCM_DATA1,PI9,6
LCM,LCM_DATA10,PH2,6
LCM,LCM_DATA11,PH3,6
LCM,LCM_DATA12,PH4,6
LCM,LCM_DATA13,PH5,6
LCM,LCM_DATA14,PH6,6
LCM,LCM_DATA15,PH7,6
LCM,LCM_DATA16,PC12,6
LCM,LCM_DATA17,PC13,6
LCM,LCM_DATA18,PC14,6
LCM,LCM_DATA19,PC15,6
LCM,LCM_DATA2,PI10,6
LCM,LCM_DATA20,PH12,6
LCM,LCM_DATA21,PH13,6
LCM,LCM_DATA22,PH14,6
LCM,LCM_DATA23,PH15,6
LCM,LCM_DATA3,PI11,6
LCM,LCM_DATA4,PI12,6
LCM,LCM_DATA5,PI13,6
LCM,LCM_DATA6,PI14,6
LCM,LCM_DATA7,PI15,6
LCM,LCM_DATA8,PH0,6
LCM,LCM_DATA9,PH1,6
LCM,LCM_DEN,PK4,6
LCM,LCM_HSYNC,PG9,6
LCM,LCM_VSYNC,PG8,6
NAND,NAND_ALE,PA12,6
NAND,NAND_CLE,PA11,6
NAND,NAND_DATA0,PA0,6
NAND,NAND_DATA1,PA1,6
NAND,NAND_DATA2,PA2,6
NAND,NAND_DATA3,PA3,6
NAND,NAND_DATA4,PA4,6
NAND,NAND_DATA5,PA5,6
NAND,NAND_DATA6,PA6,6
NAND,NAND_DATA7,PA7,6
NAND,NAND_RDY,PA8,6
NAND,NAND_nCS,PA13,6
NAND,NAND_nRE,PA9,6
NAND,NAND_nWE,PA10,6
NAND,NAND_nWP,PA14,6
QSPI0,QSPI0_CLK,PD1,5
QSPI0,QSPI0_MISO0,PD3,5
QSPI0,QSPI0_MISO1,PD5,5
QSPI0,QSPI0_MOSI0,PD2,5
QSPI0,QSPI0_MOSI1,PD4,5
QSPI0,QSPI0_SS0,PD0,5
RGMII0,RGMII0_MDC,PE0,8
RGMII0,RGMII0_MDIO,PE1,8
RGMII0,RGMII0_RXCLK,PE5,8
RGMII0,RGMII0_RXCTL,PE6,8
RGMII0,RGMII0_RXD0,PE7,8
RGMII0,RGMII0_RXD1,PE8,8
RGMII0,RGMII0_RXD2,PE9,8
RGMII0,RGMII0_RXD3,PE10,8
RGMII0,RGMII0_TXCLK,PE11,8
RGMII0,RGMII0_TXCTL,PE2,8
RGMII0,RGMII0_TXD0,PE3,8
RGMII0,RGMII0_TXD1,PE4,8
RGMII0,RGMII0_TXD2,PE12,8
RGMII0,RGMII0_TXD3,PE13,8
RGMII1,RGMII1_MDC,PF0,8
RGMII1,RGMII1_MDIO,PF1,8
RGMII1,RGMII1_RXCLK,PF5,8
RGMII1,RGMII1_RXCTL,PF6,8
RGMII1,RGMII1_RXD0,PF7,8
RGMII1,RGMII1_RXD1,PF8,8
RGMII1,RGMII1_RXD2,PF9,8
RGMII1,RGMII1_RXD3,PF10,8
RGMII1,RGMII1_TXCLK,PF11,8
RGMII1,RGMII1_TXCTL,PF2,8
RGMII1,RGMII1_TXD0,PF3,8
RGMII1,RGMII1_TXD1,PF4,8
RGMII1,RGMII1_TXD2,PF12,8
RGMII1,RGMII1_TXD3,PF13,8
SD0,SD0_WP,PC7,6
SD0,SD0_nCD,PC6,6
SD1,SD1_WP,PJ4,6
SD1,SD1_nCD,PJ5,6
UART10,UART10_RXD,PC10,2
UART10,UART10_TXD,PC11,2
UART10,UART10_nCTS,PC8,2
UART10,UART10_nRTS,PC9,2
UART12,UART12_RXD,PI2,2
UART12,UART12_TXD,PI3,2
UART12,UART12_nRTS,PI1,2
UART14,UART14_RXD,PI6,2
UART14,UART14_TXD,PI7,2
UART14,UART14_nRTS,PI5,2
UART16,UART16_RXD,PK2,2
UART16,UART16_TXD,PK3,2
UART16,UART16_nCTS,PK0,2
UART16,UART16_nRTS,PK1,2
eMMC0,eMMC0_CLK,PC1,6
eMMC0,eMMC0_CMD,PC0,6
eMMC0,eMMC0_DAT0,PC2,6
eMMC0,eMMC0_DAT1,PC3,6
eMMC0,eMMC0_DAT2,PC4,6
eMMC0,eMMC0_DAT3,PC5,6
eMMC1,eMMC1_CLK,PJ7,6
eMMC1,eMMC1_CMD,PJ6,6
eMMC1,eMMC1_DAT0,PJ8,6
eMMC1,eMMC1_DAT1,PJ9,6
eMMC1,eMMC1_DAT2,PJ10,6
eMMC1,eMMC1_DAT3,PJ11,6
eMMC1,eMMC1_DAT4,PJ0,6
eMMC1,eMMC1_DAT5,PJ1,6
eMMC1,eMMC1_DAT6,PJ2,6
eMMC1,eMMC1_DAT7,PJ3,6
