peripheral,signal,pin,af
ETH1,ETH1_MDC,PF0,10
ETH1,ETH1_MDIO,PF2,10
ETH1,ETH1_RGMII_CLK125,PH9,10
ETH1,ETH1_RGMII_GTX_CLK,PC0,12
ETH1,ETH1_RGMII_RXD0,PF1,10
ETH1,ETH1_RGMII_RXD1,PC2,10
ETH1,ETH1_RGMII_RXD2,PH12,10
ETH1,ETH1_RGMII_RXD3,PH13,10
ETH1,ETH1_RGMII_RX_CLK,PA14,10
ETH1,ETH1_RGMII_RX_CTL,PA11,10
ETH1,ETH1_RGMII_TXD0,PA15,10
ETH1,ETH1_RGMII_TXD1,PC1,10
ETH1,ETH1_RGMII_TXD2,PH10,10
ETH1,ETH1_RGMII_TXD3,PH11,10
ETH1,ETH1_RGMII_TX_CTL,PA13,10
ETH2,ETH2_MDC,PC6,10
ETH2,ETH2_MDIO,PC5,10
ETH2,ETH2_RGMII_CLK125,PF8,10
ETH2,ETH2_RGMII_GTX_CLK,PF7,10
ETH2,ETH2_RGMII_RXD0,PG0,10
ETH2,ETH2_RGMII_RXD1,PC12,10
ETH2,ETH2_RGMII_RXD2,PF9,10
ETH2,ETH2_RGMII_RXD3,PC11,10
ETH2,ETH2_RGMII_RX_CLK,PF6,10
ETH2,ETH2_RGMII_RX_CTL,PC3,10
ETH2,ETH2_RGMII_TXD0,PC7,10
ETH2,ETH2_RGMII_TXD1,PC8,10
ETH2,ETH2_RGMII_TXD2,PC9,10
ETH2,ETH2_RGMII_TXD3,PC10,10
ETH2,ETH2_RGMII_TX_CTL,PC4,10
FDCAN1,FDCAN1_RX,PG12,7
FDCAN1,FDCAN1_TX,PG11,7
FDCAN3,FDCAN3_RX,PI12,7
FDCAN3,FDCAN3_TX,PJ14,7
I2C2,I2C2_SCL,PB5,9
I2C2,I2C2_SDA,PB4,9
OCTOSPIM,OCTOSPIM_P1_CLK,PD0,10
OCTOSPIM,OCTOSPIM_P1_IO0,PD4,10
OCTOSPIM,OCTOSPIM_P1_IO1,PD5,10
OCTOSPIM,OCTOSPIM_P1_IO2,PD6,10
OCTOSPIM,OCTOSPIM_P1_IO3,PD7,10
OCTOSPIM,OCTOSPIM_P1_NCS1,PD3,10
PCIE,PCIE_CLKREQN,PJ0,4
SDMMC1,SDMMC1_CK,PE3,10
SDMMC1,SDMMC1_CMD,PE2,10
SDMMC1,SDMMC1_D0,PE4,10
SDMMC1,SDMMC1_D1,PE5,10
SDMMC1,SDMMC1_D2,PE0,10
SDMMC1,SDMMC1_D3,PE1,10
SDMMC2,SDMMC2_CK,PE14,12
SDMMC2,SDMMC2_CMD,PE15,12
SDMMC2,SDMMC2_D0,PE13,12
SDMMC2,SDMMC2_D1,PE11,12
SDMMC2,SDMMC2_D2,PE8,12
SDMMC2,SDMMC2_D3,PE12,12
SDMMC2,SDMMC2_D4,PE10,12
SDMMC2,SDMMC2_D5,PE9,12
SDMMC2,SDMMC2_D6,PE6,12
SDMMC2,SDMMC2_D7,PE7,12
USART2,USART2_RX,PA8,8
USART2,USART2_TX,PA4,6
